"","age_upon_outcome","animal_id","animal_type","breed","color","date_of_birth","datetime","monthyear","name","outcome_subtype","outcome_type","sex_upon_outcome","location_lat","location_long","age_upon_outcome_in_weeks"
"766","9 years","A756945","Dog","Border Collie Mix","Tricolor/Black",2008-08-28,2017-09-08 11:56:00,"2017-09-08T11:56:00","Pepper","","Return to Owner","Spayed Female",30.4411315736314,-97.4870742542662,471.213888888889
"767","1 month","A727029","Cat","Domestic Shorthair Mix","Black Tabby",2016-04-17,2016-06-01 01:00:00,"2016-06-01T01:00:00","*Charlie","Suffering","Euthanasia","Intact Male",30.5948002318523,-97.4312819440426,6.43452380952381
"768","2 years","A736148","Dog","Chihuahua Shorthair Mix","Tan/White",2014-03-28,2016-10-07 18:14:00,"2016-10-07T18:14:00","Cinnabon","","Return to Owner","Spayed Female",30.4883830794678,-97.6968609418352,132.108531746032
"769","3 months","A731419","Cat","Domestic Longhair Mix","Black/White",2016-07-07,2016-10-21 11:24:00,"2016-10-21T11:24:00","*Migas","Foster","Adoption","Neutered Male",30.7244911283727,-97.5271775666895,15.2107142857143
"770","10 months","A684921","Dog","Irish Terrier/Labrador Retriever","Brown/White",2013-09-30,2014-08-06 15:27:00,"2014-08-06T15:27:00","","","Adoption","Spayed Female",30.4253899106563,-97.4182068305013,44.3776785714286
"771","2 months","A706705","Dog","Anatol Shepherd Mix","Tan/White",2015-05-02,2015-07-06 19:08:00,"2015-07-06T19:08:00","Hunter","","Adoption","Spayed Female",30.4841452567617,-97.5598783803508,9.39960317460318
"772","4 years","A684222","Dog","Pit Bull Mix","Brown/White",2011-07-21,2016-01-13 15:02:00,"2016-01-13T15:02:00","Brownie","","Return to Owner","Intact Male",30.6840111142052,-97.263518361294,233.946626984127
"773","6 months","A676510","Dog","Pit Bull Mix","Black/White",2013-10-11,2014-04-16 17:05:00,"2014-04-16T17:05:00","","Partner","Transfer","Intact Male",30.7476238032631,-97.6399390038888,26.8159722222222
"774","10 months","A714989","Other","Netherlnd Dwarf Mix","Gray",2014-12-29,2015-10-30 17:08:00,"2015-10-30T17:08:00","Timmy","Partner","Transfer","Unknown",30.4514302164381,-97.732456799177,43.6734126984127
"775","2 years","A668213","Dog","Miniature Poodle Mix","White",2011-11-30,2013-12-08 14:30:00,"2013-12-08T14:30:00","Camilla","Partner","Transfer","Spayed Female",30.6482515436504,-97.5601866039024,105.657738095238
"776","2 years","A760532","Dog","Catahoula Mix","Blue Merle",2015-10-19,2017-11-26 16:54:00,"2017-11-26T16:54:00","Luna","","Adoption","Spayed Female",30.5841386533,-97.3818295366948,109.957738095238
"777","2 years","A733880","Cat","Domestic Shorthair Mix","Brown Tabby",2014-08-28,2016-08-29 09:00:00,"2016-08-29T09:00:00","","SCRP","Transfer","Spayed Female",30.29273991777,-97.598558021805,104.625
"778","1 year","A735500","Cat","Domestic Shorthair Mix","Brown Tabby/White",2015-03-29,2016-12-19 11:55:00,"2016-12-19T11:55:00","Susie","","Adoption","Spayed Female",30.7244064873366,-97.5630110291925,90.2137896825397
"779","1 year","A667977","Other","Bat Mix","Gray",2012-11-25,2013-11-25 19:51:00,"2013-11-25T19:51:00","","","Disposal","Unknown",30.6028971946088,-97.5232326543341,52.2610119047619
"780","2 years","A705299","Dog","Pit Bull Mix","Blue/White",2013-06-15,2015-08-09 13:07:00,"2015-08-09T13:07:00","Dexter","","Adoption","Neutered Male",30.3578575813747,-97.703431407006,112.220932539683
"781","11 years","A468181","Dog","Boxer/Pit Bull","Tan/White",2005-10-17,2016-12-27 09:19:00,"2016-12-27T09:19:00","Marley","","Return to Owner","Neutered Male",30.5032171206393,-97.7197671554403,584.198313492063
"782","2 years","A708081","Cat","Domestic Shorthair Mix","Blue Tabby/White",2013-01-22,2015-08-06 18:27:00,"2015-08-06T18:27:00","Nickels","","Adoption","Neutered Male",30.7600709615929,-97.3817288556202,132.395535714286
"783","6 months","A734987","Dog","Catahoula Mix","Brown Merle",2016-03-16,2016-09-20 17:29:00,"2016-09-20T17:29:00","","","Adoption","Spayed Female",30.5453895459857,-97.6567287045028,26.9612103174603
"784","10 months","A730406","Dog","Manchester Terrier Mix","Tricolor",2015-09-04,2016-07-11 18:04:00,"2016-07-11T18:04:00","*Bert","","Adoption","Spayed Female",30.3983610846212,-97.5877449077075,44.5361111111111
"785","3 years","A747310","Cat","Domestic Shorthair Mix","Orange Tabby/White",2014-04-18,2017-04-26 13:41:00,"2017-04-26T13:41:00","Mikey","","Adoption","Neutered Male",30.7649056023704,-97.613738779414,157.795734126984
"786","15 years","A700009","Dog","Yorkshire Terrier Mix","Silver/Tan",2000-04-09,2015-04-10 15:47:00,"2015-04-10T15:47:00","","Partner","Transfer","Intact Female",30.3382564948639,-97.5709868240671,782.808234126984
"787","4 years","A638342","Dog","Staffordshire Mix","Black/White",2012-04-29,2016-06-10 11:14:00,"2016-06-10T11:14:00","*Kirby","","Return to Owner","Neutered Male",30.4641953756572,-97.362719107782,214.781150793651
"788","1 month","A726500","Cat","Domestic Medium Hair Mix","Blue Tabby",2016-03-16,2016-05-16 18:53:00,"2016-05-16T18:53:00","Scooter","","Adoption","Neutered Male",30.435188083905,-97.3053356591715,8.82668650793651
"789","4 months","A716844","Cat","Domestic Shorthair Mix","Blue",2015-07-26,2015-11-30 17:57:00,"2015-11-30T17:57:00","Shadow","","Adoption","Neutered Male",30.5986593052139,-97.4324745484847,18.2497023809524
"790","6 months","A729083","Cat","Domestic Shorthair Mix","Brown Tabby/White",2015-12-13,2016-06-19 19:12:00,"2016-06-19T19:12:00","","Partner","Transfer","Spayed Female",30.6334395791273,-97.4306127292917,27.1142857142857
"791","2 weeks","A674637","Cat","Domestic Shorthair Mix","Brown Tabby",2014-03-01,2014-03-16 14:37:00,"2014-03-16T14:37:00","","Partner","Transfer","Intact Male",30.454469620117,-97.3476741378787,2.22986111111111
"792","3 years","A687505","Dog","Chihuahua Shorthair Mix","Black",2012-09-05,2015-11-30 17:15:00,"2015-11-30T17:15:00","Lucky","","Return to Owner","Spayed Female",30.5759797305372,-97.6694373438445,168.816964285714
"793","5 months","A664436","Cat","Domestic Shorthair Mix","Black/White",2013-05-03,2013-10-03 15:33:00,"2013-10-03T15:33:00","","SCRP","Transfer","Intact Male",30.4634444109553,-97.3919201584689,21.9497023809524
"794","2 weeks","A699872","Cat","Domestic Shorthair Mix","Blue",2015-03-19,2015-04-03 16:46:00,"2015-04-03T16:46:00","","Partner","Transfer","Intact Female",30.6493738575692,-97.5522333201987,2.24265873015873
"795","3 months","A700694","Cat","Domestic Shorthair Mix","Blue Tabby",2015-03-18,2015-06-20 12:36:00,"2015-06-20T12:36:00","*Ashes","Foster","Adoption","Spayed Female",30.7473717324522,-97.6624741625672,13.5035714285714
"796","8 years","A721744","Cat","Domestic Medium Hair Mix","Tortie",2008-03-03,2016-03-05 17:37:00,"2016-03-05T17:37:00","Muchacha","","Adoption","Spayed Female",30.4237380645941,-97.4671261261231,417.819146825397
"797","2 years","A750191","Dog","Pit Bull Mix","White",2015-05-24,2017-11-24 14:57:00,"2017-11-24T14:57:00","*Sheba","","Adoption","Spayed Female",30.6309485056866,-97.6395652783914,130.803273809524
"798","3 years","A699754","Dog","Chihuahua Shorthair Mix","White/Chocolate",2012-04-03,2015-04-06 17:51:00,"2015-04-06T17:51:00","","","Adoption","Neutered Male",30.3743585962658,-97.4126638874652,156.963392857143
"799","2 months","A706447","Cat","Domestic Shorthair Mix","Brown Tabby",2015-05-07,2015-07-30 19:12:00,"2015-07-30T19:12:00","Luna","","Adoption","Intact Female",30.6349603735469,-97.2556618309997,12.1142857142857
"800","1 year","A665551","Cat","Domestic Shorthair Mix","Black/White",2012-10-19,2013-12-12 13:11:00,"2013-12-12T13:11:00","*Aggie","Partner","Transfer","Spayed Female",30.756933368373,-97.4598986765,59.9356150793651
"801","6 years","A682221","Dog","Great Pyrenees Mix","White",2008-06-25,2014-08-03 19:00:00,"2014-08-03T19:00:00","Geo","","Adoption","Neutered Male",30.6512544820602,-97.4032487912425,318.684523809524
"802","4 months","A755664","Cat","Domestic Shorthair Mix","Black",2017-04-07,2017-08-11 13:39:00,"2017-08-11T13:39:00","","Partner","Transfer","Unknown",30.7376192683,-97.4793542105153,18.08125
"803","6 months","A725679","Cat","Domestic Shorthair Mix","Calico",2016-04-01,2016-10-24 18:38:00,"2016-10-24T18:38:00","*Maddie","Foster","Adoption","Spayed Female",30.656243967144,-97.4560829224773,29.5394841269841
"804","3 months","A741110","Cat","Domestic Shorthair Mix","Brown Tabby",2016-11-13,2017-03-13 17:04:00,"2017-03-13T17:04:00","*Emma","Foster","Adoption","Spayed Female",30.6751878338167,-97.6176980477427,17.2444444444444
"805","3 months","A718285","Dog","Chihuahua Shorthair Mix","Yellow",2015-09-26,2016-01-02 17:28:00,"2016-01-02T17:28:00","Biscuit","","Return to Owner","Neutered Male",30.4249575966522,-97.3887114551743,14.1039682539683
"806","3 years","A681270","Dog","Cairn Terrier/Yorkshire Terrier","Brown Brindle",2011-06-14,2014-06-19 14:44:00,"2014-06-19T14:44:00","*Samba","Partner","Transfer","Spayed Female",30.6313160507402,-97.7161481584416,157.373412698413
"807","9 months","A619084","Dog","Labrador Retriever Mix","Black",2014-09-09,2015-06-10 13:30:00,"2015-06-10T13:30:00","Dude","","Return to Owner","Neutered Male",30.6612795173076,-97.3142608327665,39.2232142857143
"808","3 years","A678367","Cat","Angora Mix","Calico",2011-05-08,2014-08-12 13:39:00,"2014-08-12T13:39:00","Daisy","Partner","Transfer","Spayed Female",30.3930151709407,-97.6657086042338,170.366964285714
"809","3 months","A694981","Dog","Labrador Retriever Mix","Black/White",2014-10-07,2015-01-12 13:16:00,"2015-01-12T13:16:00","","","Adoption","Spayed Female",30.4511638891061,-97.5470823093858,13.9361111111111
"810","6 years","A615920","Dog","American Staffordshire Terrier Mix","Blue/White",2010-06-14,2017-04-04 10:05:00,"2017-04-04T10:05:00","Bluebelle","","Return to Owner","Spayed Female",30.4955688045891,-97.372220129322,355.202876984127
"811","1 year","A724642","Dog","Pit Bull Mix","Blue",2015-04-19,2016-04-20 16:17:00,"2016-04-20T16:17:00","Chief","","Return to Owner","Intact Male",30.5777069557996,-97.3375825857152,52.525496031746
"812","3 months","A753595","Other","Raccoon","Gray",2017-04-08,2017-07-09 14:56:00,"2017-07-09T14:56:00","","Suffering","Euthanasia","Unknown",30.4517587520585,-97.6779038379104,13.231746031746
"813","3 months","A679990","Cat","Domestic Longhair","Black",2014-04-13,2014-07-28 18:41:00,"2014-07-28T18:41:00","Chui","","Adoption","Neutered Male",30.5080905137381,-97.425924235167,15.2540674603175
"814","3 years","A673840","Other","Bat Mix","Brown",2011-03-03,2014-03-03 16:54:00,"2014-03-03T16:54:00","","","Euthanasia","Unknown",30.5639896688661,-97.6560865047372,156.672023809524
"815","1 month","A745111","Cat","Domestic Medium Hair Mix","Black",2017-02-13,2017-03-21 13:27:00,"2017-03-21T13:27:00","*Midnight","In Foster","Died","Intact Female",30.4738477660206,-97.2869817598695,5.22291666666667
"816","2 years","A750925","Dog","Pit Bull Mix","Blue",2015-06-02,2017-06-02 15:34:00,"2017-06-02T15:34:00","","Partner","Transfer","Intact Male",30.5169312220812,-97.580530271038,104.52123015873
"817","3 years","A699262","Dog","Staffordshire Mix","White/Black",2012-03-24,2015-11-21 13:47:00,"2015-11-21T13:47:00","Mika","","Adoption","Spayed Female",30.5718466320564,-97.649435089648,191.082043650794
"818","6 years","A623561","Dog","Pit Bull Mix","Blue/White",2009-04-03,2015-04-28 17:33:00,"2015-04-28T17:33:00","Marley","","Return to Owner","Neutered Male",30.5105357929205,-97.2878342938612,316.675892857143
"819","2 years","A740785","Cat","Domestic Shorthair Mix","Black/White",2014-12-22,2016-12-31 16:12:00,"2016-12-31T16:12:00","Purl","","Adoption","Spayed Female",30.6719855394969,-97.3338961764982,105.810714285714
"820","3 years","A713464","Dog","Maltese Mix","Black/White",2012-10-07,2015-10-12 17:27:00,"2015-10-12T17:27:00","","","Adoption","Spayed Female",30.2892637726047,-97.3371475293397,157.246726190476
"821","3 years","A712304","Other","Bat Mix","Brown",2012-09-21,2015-09-22 08:12:00,"2015-09-22T08:12:00","","Rabies Risk","Euthanasia","Unknown",30.4524599749695,-97.4751209652832,156.620238095238
"822","3 weeks","A753672","Dog","Beagle Mix","Brown",2017-06-18,2017-07-11 11:52:00,"2017-07-11T11:52:00","","Partner","Transfer","Intact Female",30.4654688915613,-97.7358526708384,3.35634920634921
"823","2 years","A677627","Cat","Domestic Shorthair Mix","Brown Tabby/White",2014-03-22,2016-09-24 13:28:00,"2016-09-24T13:28:00","*Charlie","Partner","Transfer","Neutered Male",30.6107709892727,-97.2686316771624,131.080158730159
"824","5 years","A666559","Cat","Domestic Shorthair Mix","Black/White",2008-11-04,2013-12-20 14:24:00,"2013-12-20T14:24:00","*Shelby","","Adoption","Intact Female",30.3916593242893,-97.390981310878,267.514285714286
"825","4 months","A739233","Dog","Labrador Retriever Mix","Tan/Brown",2016-07-29,2016-12-10 17:58:00,"2016-12-10T17:58:00","Timo","","Return to Owner","Neutered Male",30.3277125683951,-97.6437556082511,19.2498015873016
"826","6 years","A700825","Dog","Shih Tzu Mix","Gray/White",2009-04-20,2015-04-21 12:01:00,"2015-04-21T12:01:00","Rocky","Partner","Transfer","Neutered Male",30.6687201297358,-97.4674603170424,313.214384920635
"827","1 year","A701323","Cat","Domestic Shorthair Mix","Black",2014-04-27,2015-04-28 11:10:00,"2015-04-28T11:10:00","Sheba","","Return to Owner","Spayed Female",30.388077580974,-97.6458595586105,52.3521825396825
"828","2 months","A703770","Cat","Domestic Shorthair Mix","Brown Tabby",2015-04-28,2015-07-19 19:48:00,"2015-07-19T19:48:00","*Mia","Foster","Adoption","Spayed Female",30.2869348259051,-97.6434493903578,11.8321428571429
"829","10 months","A719736","Dog","Pit Bull Mix","Blue/White",2015-03-26,2016-01-30 15:10:00,"2016-01-30T15:10:00","Bevo","","Return to Owner","Intact Male",30.6759953518566,-97.3813214951754,44.3759920634921
"830","19 years","A725915","Cat","Domestic Shorthair Mix","Black",1997-05-03,2016-05-05 12:22:00,"2016-05-05T12:22:00","Snagglepuss","Suffering","Euthanasia","Neutered Male",30.4451613444004,-97.7265936173445,991.787896825397
"831","1 month","A704496","Dog","Labrador Retriever/Plott Hound","Black/White",2015-04-28,2015-06-05 16:04:00,"2015-06-05T16:04:00","","Partner","Transfer","Intact Male",30.2932047533446,-97.5438843324073,5.52420634920635
"832","4 months","A710130","Cat","Domestic Shorthair Mix","Black",2015-06-18,2015-11-11 19:17:00,"2015-11-11T19:17:00","Tango","","Adoption","Neutered Male",30.6471209688079,-97.4658290729244,20.9719246031746
"833","6 months","A680421","Dog","German Shepherd Mix","Tan",2013-12-02,2014-06-29 18:54:00,"2014-06-29T18:54:00","*Dori","","Adoption","Spayed Female",30.5850104951952,-97.5116706753008,29.9696428571429
"834","5 months","A758114","Cat","Domestic Shorthair Mix","Brown Tabby",2017-04-12,2017-09-16 22:04:00,"2017-09-16T22:04:00","*Libby","","Adoption","Spayed Female",30.7074180443722,-97.5271466713252,22.5599206349206
"835","8 months","A696413","Cat","Domestic Shorthair Mix","Cream Tabby",2014-06-04,2015-02-05 09:00:00,"2015-02-05T09:00:00","Tony","SCRP","Transfer","Neutered Male",30.6789230870826,-97.4283053210832,35.1964285714286
"836","2 months","A761473","Cat","Siamese Mix","Lynx Point",2017-10-08,2017-12-15 07:47:00,"2017-12-15T07:47:00","","Foster","Adoption","Neutered Male",30.3954762196888,-97.5721320871648,9.76061507936508
"837","2 years","A735889","Dog","Pit Bull Mix","White/Black",2014-10-01,2016-10-02 13:08:00,"2016-10-02T13:08:00","","","Return to Owner","Intact Male",30.7644617904823,-97.7068745843438,104.649603174603
"838","3 weeks","A729076","Cat","Domestic Medium Hair Mix","Black",2016-05-22,2016-06-13 14:07:00,"2016-06-13T14:07:00","","Partner","Transfer","Unknown",30.3722876083895,-97.6248507213851,3.22688492063492
"839","6 years","A756670","Dog","Pomeranian/Cocker Spaniel","Red",2011-08-23,2017-08-24 13:01:00,"2017-08-24T13:01:00","Cooper","Partner","Transfer","Neutered Male",30.5143306056301,-97.3982032919075,313.363194444444
"840","1 year","A726104","Bird","Grackle Mix","Black",2015-05-06,2016-05-06 13:39:00,"2016-05-06T13:39:00","","Suffering","Euthanasia","Unknown",30.5617689682317,-97.6936579778395,52.3669642857143
"841","2 years","A712909","Cat","Domestic Shorthair Mix","Orange Tabby",2013-09-29,2015-09-30 09:00:00,"2015-09-30T09:00:00","","SCRP","Transfer","Intact Male",30.7486760604177,-97.6263390364084,104.482142857143
"842","6 years","A736590","Dog","Jack Russell Terrier Mix","White/Brown",2010-01-30,2016-11-05 13:53:00,"2016-11-05T13:53:00","Buddy","","Adoption","Neutered Male",30.466259071107,-97.5483512881312,353.082638888889
"843","1 month","A680409","Cat","Siamese Mix","Flame Point",2014-05-02,2014-06-09 15:50:00,"2014-06-09T15:50:00","Lark","Partner","Transfer","Intact Female",30.3042302345133,-97.3601790482013,5.52281746031746
"844","3 months","A754142","Cat","Domestic Shorthair Mix","Black/White",2017-05-01,2017-08-09 13:02:00,"2017-08-09T13:02:00","*Gogo","Partner","Transfer","Intact Male",30.3359097914132,-97.5757453635701,14.3632936507937
"845","1 year","A672005","Dog","Labrador Retriever/Pointer","Chocolate/White",2013-02-02,2014-02-07 15:00:00,"2014-02-07T15:00:00","Hazel","Partner","Transfer","Intact Female",30.7339491455445,-97.6508808167011,52.9464285714286
"846","2 years","A716891","Dog","Pit Bull Mix","Brown/White",2013-11-27,2015-11-27 16:55:00,"2015-11-27T16:55:00","Nala","","Return to Owner","Spayed Female",30.3986675790287,-97.2954245588649,104.386408730159
"847","3 years","A757628","Dog","Basset Hound Mix","Tan",2014-09-04,2017-09-15 14:24:00,"2017-09-15T14:24:00","128","Partner","Transfer","Intact Male",30.4101311362721,-97.5746406745352,158.228571428571
"848","5 days","A746786","Cat","Domestic Shorthair Mix","Brown Tabby",2017-04-04,2017-04-09 16:41:00,"2017-04-09T16:41:00","","Partner","Transfer","Intact Female",30.6123458350403,-97.6657143715327,0.81359126984127
"849","12 years","A671526","Dog","Labrador Retriever Mix","Yellow",2002-01-26,2014-02-01 18:30:00,"2014-02-01T18:30:00","Ethal","","Adoption","Spayed Female",30.6814543064537,-97.2623995276217,627.110119047619
"850","1 day","A700344","Cat","Domestic Shorthair Mix","Brown Tabby",2015-04-11,2015-04-12 13:41:00,"2015-04-12T13:41:00","","Partner","Transfer","Unknown",30.3445437713701,-97.6884880397369,0.224305555555556
"851","2 weeks","A758605","Cat","American Shorthair Mix","Brown Tabby/Black",2017-09-05,2017-09-19 18:37:00,"2017-09-19T18:37:00","","Partner","Transfer","Intact Female",30.5764502739252,-97.2570179171032,2.11081349206349
"852","3 months","A735834","Dog","Pit Bull Mix","Blue/White",2016-06-30,2016-10-04 19:00:00,"2016-10-04T19:00:00","","","Adoption","Neutered Male",30.6031131780923,-97.4073401846239,13.827380952381
